Date et heure;10/08/2021 11:38:04
Type Camera;TPS
Identifiant;e
Temps de jeu (s);13,53591
Nombres d'images;5
Cibles manquees;3
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;2
Temps images;10
Seed;1
Preset;[TempSave]
Score;200
Tir Actif;Oui
Score Affiche;Oui
Vitesse;10
Force frein;1
Viseur colorise;Oui
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;10,0195;Non;Non;Oui;
02_N_Diapositive02.jpg;1;0;Non;Non;Oui;
03_T1_Diapositive03.jpg;0;1,03286;Oui;Oui;Oui;
04Diapositive04.jpg;0;0;Oui;Non;Non;
05_N_Diapositive05.jpg;3;0;Non;Non;Oui;
