Date et heure;22/07/2021 12:33:48
Type Camera;TPS
Identifiant;i
Temps de jeu (s);16,23875
Nombres d'images;5
Cibles manquees;5
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;1,5
Temps images;2
Seed;1
Preset;
Score;0
Tir Actif;Oui
Score Affiche;Oui
Vitesse;1
Force frein;1
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;0;Non;Non;Oui;
02_N_Diapositive02.jpg;1;0;Non;Non;Oui;
03Diapositive03.jpg;0;0;Oui;Non;Non;
04Diapositive04.jpg;0;0;Oui;Non;Non;
05_N_Diapositive05.jpg;3;0;Non;Non;Oui;
